Fecha|Valor
1972-01-01 00:00:00|362.5
1972-01-02 00:00:00|360.5
1972-01-03 00:00:00|358.3
1972-01-04 00:00:00|353.9
1972-01-05 00:00:00|346.9
1972-01-06 00:00:00|341.2
1972-01-07 00:00:00|337.1
1972-01-08 00:00:00|331.1
1972-01-09 00:00:00|325.8
1972-01-10 00:00:00|317.5
1972-01-11 00:00:00|313.6
1972-01-12 00:00:00|309.7
1972-01-13 00:00:00|305.6
1972-01-14 00:00:00|298.7
1972-01-15 00:00:00|294.0
1972-01-16 00:00:00|288.3
1972-01-17 00:00:00|285.4
1972-01-18 00:00:00|282.6
1972-01-19 00:00:00|282.6
1972-01-20 00:00:00|286.4
1972-01-21 00:00:00|289.3
1972-01-22 00:00:00|293.1
1972-01-23 00:00:00|294.0
1972-01-24 00:00:00|294.0
1972-01-25 00:00:00|292.2
1972-01-26 00:00:00|289.3
1972-01-27 00:00:00|284.5
1972-01-28 00:00:00|279.8
1972-01-29 00:00:00|277.2
1972-01-30 00:00:00|271.9
1972-01-31 00:00:00|267.8
1972-02-01 00:00:00|266.2
1972-02-02 00:00:00|264.5
1972-02-03 00:00:00|259.3
1972-02-04 00:00:00|255.8
1972-02-05 00:00:00|249.1
1972-02-06 00:00:00|245.7
1972-02-07 00:00:00|238.9
1972-02-08 00:00:00|231.3
1972-02-09 00:00:00|228.6
1972-02-10 00:00:00|226.8
1972-02-11 00:00:00|226.8
1972-02-12 00:00:00|233.6
1972-02-13 00:00:00|237.4
1972-02-14 00:00:00|241.5
1972-02-15 00:00:00|245.7
1972-02-16 00:00:00|247.5
1972-02-17 00:00:00|247.5
1972-02-18 00:00:00|245.7
1972-02-19 00:00:00|235.1
1972-02-20 00:00:00|233.6
1972-02-21 00:00:00|229.5
1972-02-22 00:00:00|222.4
1972-02-23 00:00:00|218.8
1972-02-24 00:00:00|212.4
1972-02-25 00:00:00|205.9
1972-02-26 00:00:00|197.1
1972-02-27 00:00:00|187.3
1972-02-28 00:00:00|176.6
1972-02-29 00:00:00|172.7
1972-03-01 00:00:00|163.3
1972-03-02 00:00:00|157.1
