Fecha|Valor
1940-07-23 00:00:00|3132.0
1940-07-24 00:00:00|3155.0
1940-07-25 00:00:00|3201.0
1940-07-26 00:00:00|3270.0
1940-07-27 00:00:00|3443.0
1940-07-28 00:00:00|3604.0
1940-07-29 00:00:00|3578.0
1940-07-30 00:00:00|3385.0
1940-07-31 00:00:00|3190.0
1940-08-01 00:00:00|3155.0
1940-08-02 00:00:00|3293.0
1940-08-03 00:00:00|3500.0
1940-08-04 00:00:00|3282.0
1940-08-05 00:00:00|3270.0
1940-08-06 00:00:00|3109.0
1940-08-07 00:00:00|3132.0
1940-08-08 00:00:00|3282.0
1940-08-09 00:00:00|3443.0
1940-08-10 00:00:00|3760.0
1940-08-11 00:00:00|3890.0
1940-08-12 00:00:00|3851.0
1940-08-13 00:00:00|3890.0
1940-08-14 00:00:00|3864.0
1940-08-15 00:00:00|3864.0
1940-08-16 00:00:00|4020.0
1940-08-17 00:00:00|3994.0
1940-08-18 00:00:00|4007.0
1940-08-19 00:00:00|4020.0
1940-08-20 00:00:00|4020.0
1940-08-21 00:00:00|4020.0
1940-08-22 00:00:00|3994.0
1940-08-23 00:00:00|3994.0
1940-08-24 00:00:00|3864.0
1940-08-25 00:00:00|3864.0
1940-08-26 00:00:00|3864.0
1940-08-27 00:00:00|4020.0
1940-08-28 00:00:00|4033.0
1940-08-29 00:00:00|3903.0
1940-08-30 00:00:00|3786.0
1940-08-31 00:00:00|3786.0
1940-09-01 00:00:00|3838.0
1940-09-02 00:00:00|3890.0
1940-09-03 00:00:00|3916.0
1940-09-04 00:00:00|3942.0
1940-09-05 00:00:00|3890.0
1940-09-06 00:00:00|3682.0
1940-09-07 00:00:00|3604.0
1940-09-08 00:00:00|3760.0
1940-09-09 00:00:00|3955.0
1940-09-10 00:00:00|4046.0
1940-09-11 00:00:00|4124.0
1940-09-12 00:00:00|4150.0
1940-09-13 00:00:00|4246.0
1940-09-14 00:00:00|4330.0
1940-09-15 00:00:00|4486.0
1940-09-16 00:00:00|4558.0
1940-09-17 00:00:00|4642.0
1940-09-18 00:00:00|4750.0
1940-09-19 00:00:00|4788.0
1940-09-20 00:00:00|4813.0
1940-09-21 00:00:00|4875.0
1940-09-22 00:00:00|4975.0
1940-09-23 00:00:00|5063.0
1940-09-24 00:00:00|5188.0
1940-09-25 00:00:00|5313.0
1940-09-26 00:00:00|5288.0
1940-09-27 00:00:00|5250.0
1940-09-28 00:00:00|5188.0
1940-09-29 00:00:00|5188.0
1940-09-30 00:00:00|5163.0
1940-10-01 00:00:00|5125.0
1940-10-02 00:00:00|5150.0
1940-10-03 00:00:00|5175.0
1940-10-04 00:00:00|5225.0
1940-10-05 00:00:00|5313.0
1940-10-06 00:00:00|5350.0
1940-10-07 00:00:00|5402.0
1940-10-08 00:00:00|5456.0
1940-10-09 00:00:00|5483.0
1940-10-10 00:00:00|5780.0
1940-10-11 00:00:00|5982.0
1940-10-12 00:00:00|6205.0
1940-10-13 00:00:00|6438.0
1940-10-14 00:00:00|6592.0
1940-10-15 00:00:00|6701.0
1940-10-16 00:00:00|6794.0
1940-10-17 00:00:00|6908.0
1940-10-18 00:00:00|6990.0
1940-10-19 00:00:00|7006.0
1940-10-20 00:00:00|7023.0
1940-10-21 00:00:00|7254.0
1940-10-22 00:00:00|7254.0
1940-10-23 00:00:00|7270.0
1940-10-24 00:00:00|7436.0
1940-10-25 00:00:00|7518.0
1940-10-26 00:00:00|7617.0
1940-10-27 00:00:00|7682.0
1940-10-28 00:00:00|7842.0
1940-10-29 00:00:00|7938.0
1940-10-30 00:00:00|8050.0
1940-10-31 00:00:00|8130.0
1940-11-01 00:00:00|8162.0
1940-11-02 00:00:00|8210.0
1940-11-03 00:00:00|8210.0
1940-11-04 00:00:00|8274.0
1940-11-05 00:00:00|8242.0
1940-11-06 00:00:00|8258.0
1940-11-07 00:00:00|8242.0
1940-11-08 00:00:00|8162.0
1940-11-09 00:00:00|8130.0
1940-11-10 00:00:00|8130.0
1940-11-11 00:00:00|8162.0
1940-11-12 00:00:00|8210.0
1940-11-13 00:00:00|8242.0
1940-11-14 00:00:00|8290.0
